Book,Price,Link
Atomic Adventures,$43.49,https://www.audible.com/pd/The-Theory-of-Everything-The-Quest-to-Explain-All-Reality-Audiobook/1629976083?qid=1692093044&sr=1-9&ref=a_search_c3_lProduct_1_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Theory of Everything,Free with Plus trial,https://www.audible.com/search?searchAuthor=Don+Lincoln&ref=a_search_c3_lAuthor_1_9_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
"I Know What to Do, So Why Don't I Do It?",$14.95,https://www.audible.com/author/The-Great-Courses/B06XPWVHFB?ref=a_search_c3_lAuthor_1_9_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Success,$21.31,https://www.audible.com/search?searchNarrator=Don+Lincoln&ref=a_search_c3_lNarrator_1_9_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Almost Human,Free with Plus trial,https://www.audible.com/pd/Breath-Audiobook/0593211510?qid=1692093044&sr=1-10&ref=a_search_c3_lProduct_1_10&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Astrophysics for People in a Hurry,$15.19,https://www.audible.com/pd/Astrophysics-for-People-in-a-Hurry-Audiobook/B06X9MXN32?qid=1692093044&sr=1-1&ref=a_search_c3_lProduct_1_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Evidence for Modern Physics,$33.90,https://www.audible.com/pd/Astrophysics-for-People-in-a-Hurry-Audiobook/B06X9MXN32?qid=1692093044&sr=1-1&ref=a_search_c3_lProduct_1_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Understanding the Inventions That Changed the World,$36.50,https://www.audible.com/author/Neil-deGrasse-Tyson/B00NSCELKC?ref=a_search_c3_lAuthor_1_1_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Storytelling,Free with Plus trial,https://www.audible.com/search?searchNarrator=Neil+deGrasse+Tyson&ref=a_search_c3_lNarrator_1_1_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Science of Getting Rich,$30.44,https://www.audible.com/pd/The-Evidence-for-Modern-Physics-Audiobook/1644650851?qid=1692093044&sr=1-2&ref=a_search_c3_lProduct_1_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Why We Sleep,$8.65,https://www.audible.com/pd/The-Evidence-for-Modern-Physics-Audiobook/1644650851?qid=1692093044&sr=1-2&ref=a_search_c3_lProduct_1_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Caffeine,$16.72,https://www.audible.com/search?searchAuthor=Professor+Don+Lincoln&ref=a_search_c3_lAuthor_1_2_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
A Short History of Nearly Everything,$8.95,https://www.audible.com/author/The-Great-Courses/B06XPWVHFB?ref=a_search_c3_lAuthor_1_2_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Theory of Everything: The Quest to Explain All Reality,Free with Plus trial,https://www.audible.com/search?searchNarrator=Professor+Don+Lincoln&ref=a_search_c3_lNarrator_1_2_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Breath,$22.92,https://www.audible.com/pd/Understanding-the-Inventions-That-Changed-the-World-Audiobook/1682769984?qid=1692093044&sr=1-3&ref=a_search_c3_lProduct_1_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=ZR49M1NN0X3QNM11KGT6&pageLoadId=sLD6cf2frpA6SCOn&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
